n_ensemble,weights,dataset,accuracy_mean,accuracy_std
39,Uniform,Yeast_CYTvsNUC,0.675930087390762,0.0434102342134105
49,Uniform,Yeast_CYTvsNUC,0.684918851435705,0.0412767723519492
59,Uniform,Yeast_CYTvsNUC,0.684893882646692,0.0486060517957766
69,Uniform,Yeast_CYTvsNUC,0.6916354556804,0.0495964210144688
79,Uniform,Yeast_CYTvsNUC,0.68940074906367,0.0462832143561822
89,Uniform,Yeast_CYTvsNUC,0.683770287141074,0.0466641438913291
99,Uniform,Yeast_CYTvsNUC,0.688277153558052,0.0456136203475599
109,Uniform,Yeast_CYTvsNUC,0.690524344569288,0.0390838631708834
119,Uniform,Yeast_CYTvsNUC,0.682659176029962,0.0445347690567787
129,Uniform,Yeast_CYTvsNUC,0.682659176029962,0.0422724723800813
139,Uniform,Yeast_CYTvsNUC,0.684881398252185,0.0456927493484833
149,Uniform,Yeast_CYTvsNUC,0.68601747815231,0.0395326455761025
159,Uniform,Yeast_CYTvsNUC,0.68601747815231,0.0419503727865261
169,Uniform,Yeast_CYTvsNUC,0.687141073657928,0.0423848411123351
179,Uniform,Yeast_CYTvsNUC,0.684906367041198,0.040663131375833
189,Uniform,Yeast_CYTvsNUC,0.686029962546817,0.0390934328100016
199,Uniform,Yeast_CYTvsNUC,0.691622971285893,0.044295287359073
average,Uniform,bands,0.730386636636637,0.0481054058627669
9,Uniform,bands,0.69009009009009,0.0572628132432495
19,Uniform,bands,0.693018018018018,0.0413972462884735
29,Uniform,bands,0.701051051051051,0.0496591340355097
39,Uniform,bands,0.709384384384384,0.036253393672828
49,Uniform,bands,0.725900900900901,0.0511826920576142
59,Uniform,bands,0.736936936936937,0.0436113746865666
69,Uniform,bands,0.736936936936937,0.0414890462722415
79,Uniform,bands,0.731381381381381,0.046735599367937
89,Uniform,bands,0.731456456456457,0.05317926749164
99,Uniform,bands,0.728753753753754,0.0492389863937549
109,Uniform,bands,0.739714714714715,0.0414344441196675
119,Uniform,bands,0.728903903903904,0.0576569733755691
129,Uniform,bands,0.737162162162162,0.0437837111230427
139,Uniform,bands,0.737087087087087,0.0542504218733698
149,Uniform,bands,0.73978978978979,0.054515740478819
159,Uniform,bands,0.750750750750751,0.0465505826659165
169,Uniform,bands,0.742642642642643,0.0505354341663615
179,Uniform,bands,0.73978978978979,0.0559030157432603
189,Uniform,bands,0.756231231231231,0.0464806410189131
199,Uniform,bands,0.750750750750751,0.0409875991806045
average,Uniform,ilpd,0.70645039322444,0.0421398890139973
9,Uniform,ilpd,0.696007259528131,0.0455230397558754
19,Uniform,ilpd,0.715033272837266,0.0438781764763427
29,Uniform,ilpd,0.713339382940109,0.0493116247210339
39,Uniform,ilpd,0.704688445251059,0.0382749000033447
49,Uniform,ilpd,0.711524500907441,0.0410470389222403
59,Uniform,ilpd,0.709830611010284,0.0371565630089205
69,Uniform,ilpd,0.716696914700544,0.0457971615303614
79,Uniform,ilpd,0.701179673321234,0.0338211705886526
89,Uniform,ilpd,0.697731397459165,0.0418024107360021
99,Uniform,ilpd,0.6994555353902,0.0384966098529789
109,Uniform,ilpd,0.711524500907441,0.0426260161568651
119,Uniform,ilpd,0.704627949183303,0.0370492114099204
129,Uniform,ilpd,0.702903811252269,0.0453240318594715
139,Uniform,ilpd,0.702903811252269,0.0467588035894826
149,Uniform,ilpd,0.702903811252269,0.03906144476991
159,Uniform,ilpd,0.706352087114338,0.0440401401268542
169,Uniform,ilpd,0.709800362976406,0.0446828068125242
